subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_l1_08_equalized_i,after_l1_08_equalized_q,after_l1_08_plus_l1_09_equalized_i,after_l1_08_plus_l1_09_equalized_q,allpass_abs,allpass_phase_rad
1959,17115,6267700195.312500,-3.837532559955e+02,-3.837532559955e+02,-3.145963011045e+02,-4.575686260908e+02,-3.827112935890e+02,-3.717546018310e+02,1.000000000000e+00,1.978869612845
1960,17116,6268066406.250000,-5.482189371364e+01,1.644656811409e+02,-8.599333337698e+01,1.550628261821e+02,-3.873106102903e+01,1.675417638257e+02,1.000000000000e+00,1.954026309108
1961,17117,6268432617.187500,-2.741094685682e+02,-5.482189371364e+01,-2.652538009915e+02,-1.069692241691e+02,-2.639230488703e+02,-4.558895595471e+01,1.000000000000e+00,1.929195029020
1962,17118,6268798828.125000,-1.644656811409e+02,-2.741094685682e+02,-1.131614572926e+02,-3.069925495229e+02,-1.600698720970e+02,-2.676848357353e+02,1.000000000000e+00,1.904375797591
1963,17119,6269165039.062500,-5.482189371364e+01,-1.644656811409e+02,-2.368277268483e+01,-1.758797619433e+02,-4.756962640422e+01,-1.606147054838e+02,1.000000000000e+00,1.879568638324
1964,17120,6269531250.000000,-3.837532559955e+02,5.482189371364e+01,-3.963656771377e+02,-1.816886626270e+01,-3.707426204296e+02,6.817726712826e+01,1.000000000000e+00,1.854773573227
1965,17121,6269897460.937500,-1.644656811409e+02,-3.837532559955e+02,-9.215890380197e+01,-4.172402708423e+02,-1.638884992863e+02,-3.760845488039e+02,1.000000000000e+00,1.829990622823
1966,17122,6270263671.875000,2.741094685682e+02,1.644656811409e+02,2.439818960166e+02,2.179725545414e+02,2.904150936311e+02,1.600416902747e+02,1.000000000000e+00,1.805219806152
1967,17123,6270629882.812500,-2.741094685682e+02,-2.741094685682e+02,-2.223629990316e+02,-3.286272978147e+02,-2.701591310175e+02,-2.631254288950e+02,1.000000000000e+00,1.780461140786
1968,17124,6270996093.750000,2.741094685682e+02,-5.482189371364e+01,2.861524347695e+02,-1.455957157840e+00,2.843084054546e+02,-5.825192771769e+01,1.000000000000e+00,1.755714642834
