freq_hz,digital_w_rad_per_sample,original_phase_rad,allpass_phase_rad,compensated_phase_rad,original_group_delay_ns,allpass_group_delay_ns,compensated_group_delay_ns,target_delay_ns
5605000000.000000,1.467385568614,-77.281022622264,-8.437275399013,-85.718298021277,4.930786044,9.340458406,14.271244450,13.883519069
5606000000.000000,1.467647368002,-77.311036908691,-8.495941430532,-85.806978339223,4.963188485,9.333805252,14.296993737,13.883519069
5607000000.000000,1.467909167390,-77.343391888191,-8.554567455053,-85.897959343244,4.777729563,9.327724357,14.105453920,13.883519069
5608000000.000000,1.468170966778,-77.371075629074,-8.613157071795,-85.984232700869,4.803655287,9.322216811,14.125872098,13.883519069
5609000000.000000,1.468432766165,-77.403756400834,-8.671713886445,-86.075470287279,4.926581015,9.317283587,14.243864602,13.883519069
5610000000.000000,1.468694565553,-77.432984871975,-8.730241510471,-86.163226382446,4.451640959,9.312925557,13.764566516,13.883519069
5611000000.000000,1.468956364941,-77.459697370972,-8.788743560504,-86.248440931476,4.745334689,9.309143499,14.054478188,13.883519069
5612000000.000000,1.469218164329,-77.492616506369,-8.847223657781,-86.339840164150,5.373652556,9.305938104,14.679590660,13.883519069
5613000000.000000,1.469479963717,-77.527224680540,-8.905685427634,-86.432910108174,4.899014785,9.303309989,14.202324774,13.883519069
5614000000.000000,1.469741763104,-77.554179341801,-8.964132499041,-86.518311840842,4.985588094,9.301259700,14.286847794,13.883519069
5615000000.000000,1.470003562492,-77.589875428259,-9.022568504211,-86.612443932470,5.284993364,9.299787723,14.584781087,13.883519069
5616000000.000000,1.470265361880,-77.620592527108,-9.080997078208,-86.701589605316,5.075359704,9.298894485,14.374254189,13.883519069
5617000000.000000,1.470527161268,-77.653654279306,-9.139421858618,-86.793076137924,4.843382788,9.298580362,14.141963150,13.883519069
5618000000.000000,1.470788960656,-77.681456270250,-9.197846485231,-86.879302755481,5.268673508,9.298845683,14.567519191,13.883519069
5619000000.000000,1.471050760043,-77.719862383257,-9.256274599755,-86.976136983012,5.483562437,9.299690730,14.783253167,13.883519069
5620000000.000000,1.471312559431,-77.750364748125,-9.314709845548,-87.065074593673,4.743083847,9.301115747,14.044199594,13.883519069
5621000000.000000,1.471574358819,-77.779465732736,-9.373155867356,-87.152621600092,5.236743912,9.303120933,14.539864845,13.883519069
5622000000.000000,1.471836158207,-77.816171612935,-9.431616311066,-87.247787924001,5.342265855,9.305706452,14.647972307,13.883519069
5623000000.000000,1.472097957595,-77.846598625391,-9.490094823460,-87.336693448851,4.761574817,9.308872425,14.070447242,13.883519069
5624000000.000000,1.472359756982,-77.876007326793,-9.548595051964,-87.424602378757,4.935410820,9.312618936,14.248029756,13.883519069
5625000000.000000,1.472621556370,-77.908618826883,-9.607120644395,-87.515739471278,5.086236784,9.316946024,14.403182808,13.883519069
5626000000.000000,1.472883355758,-77.939922863257,-9.665675248692,-87.605598111949,4.736678032,9.321853686,14.058531718,13.883519069
5627000000.000000,1.473145155146,-77.968141678519,-9.724262512629,-87.692404191148,4.908503841,9.327341873,14.235845714,13.883519069
5628000000.000000,1.473406954534,-78.001604941689,-9.782886083510,-87.784491025199,5.293550638,9.333410481,14.626961119,13.883519069
