freq_hz,float_abs,fixed_abs,fixed_abs_error_db,float_phase_rad,fixed_phase_rad,phase_error_rad,original_group_delay_ns,float_allpass_group_delay_ns,fixed_allpass_group_delay_ns,float_compensated_group_delay_ns,fixed_compensated_group_delay_ns
5576000000.000000,1.000000000000e+00,1.000000000000e+00,9.064678185601e-14,-6.702901128047,-6.703401032992,-4.999049444470e-04,3.392974091,9.769483729,9.768490116,13.162457820,13.161464207
5577000000.000000,1.000000000000e+00,1.000000000000e+00,1.735789439796e-14,-6.764215964718,-6.764709686837,-4.937221189660e-04,3.748978586,9.747835816,9.746861261,13.496814402,13.495839847
5578000000.000000,1.000000000000e+00,1.000000000000e+00,6.364561279252e-14,-6.825396045601,-6.825883703924,-4.876583227897e-04,4.301297872,9.726596472,9.725640737,14.027894344,14.026938609
5579000000.000000,1.000000000000e+00,1.000000000000e+00,-5.400233812698e-14,-6.886443980807,-6.886925692801,-4.817119936762e-04,4.039419252,9.705778969,9.704841795,13.745198221,13.744261047
5580000000.000000,1.000000000000e+00,1.000000000000e+00,4.435906346145e-14,-6.947362461225,-6.947838342669,-4.758814432373e-04,3.550961677,9.685395762,9.684476871,13.236357439,13.235438548
5581000000.000000,1.000000000000e+00,1.000000000000e+00,1.485064298492e-13,-7.008154253504,-7.008624418369,-4.701648658632e-04,3.757312068,9.665458528,9.664557623,13.422770596,13.421869691
5582000000.000000,1.000000000000e+00,1.000000000000e+00,4.821637332766e-14,-7.068822195241,-7.069286755588,-4.645603472913e-04,4.337809666,9.645978190,9.645094960,13.983787856,13.982904626
5583000000.000000,1.000000000000e+00,1.000000000000e+00,8.100350719048e-14,-7.129369190379,-7.129828256252,-4.590658727981e-04,4.269785199,9.626964959,9.626099075,13.896750158,13.895884274
5584000000.000000,1.000000000000e+00,1.000000000000e+00,7.714619732426e-15,-7.189798204802,-7.190251884137,-4.536793349867e-04,3.907403358,9.608428357,9.607579478,13.515831715,13.514982836
5585000000.000000,1.000000000000e+00,1.000000000000e+00,-4.339473599490e-14,-7.250112262139,-7.250560660681,-4.483985412209e-04,4.116696715,9.590377258,9.589545028,13.707073973,13.706241743
5586000000.000000,1.000000000000e+00,1.000000000000e+00,-3.568011626247e-14,-7.310314439763,-7.310757660984,-4.432212206646e-04,4.494810341,9.572819913,9.572003965,14.067630254,14.066814306
5587000000.000000,1.000000000000e+00,1.000000000000e+00,6.171695785941e-14,-7.370407864994,-7.370846010025,-4.381450309348e-04,4.408967902,9.555763984,9.554963940,13.964731886,13.963931842
5588000000.000000,1.000000000000e+00,1.000000000000e+00,7.907485225737e-14,-7.430395711493,-7.430828879058,-4.331675643998e-04,4.066433661,9.539216575,9.538432046,13.605650236,13.604865707
5589000000.000000,1.000000000000e+00,1.000000000000e+00,2.700116906349e-14,-7.490281195847,-7.490709482201,-4.282863540901e-04,4.650793748,9.523184261,9.522414851,14.173978009,14.173208599
5590000000.000000,1.000000000000e+00,1.000000000000e+00,-8.293216212358e-14,-7.550067574341,-7.550491073220,-4.234988792655e-04,4.483798411,9.507673117,9.506918421,13.991471528,13.990716832
5591000000.000000,1.000000000000e+00,1.000000000000e+00,-8.100350719048e-14,-7.609758139914,-7.610176942484,-4.188025706240e-04,4.097608360,9.492688749,9.491948355,13.590297109,13.589556715
5592000000.000000,1.000000000000e+00,1.000000000000e+00,6.557426772562e-14,-7.669356219287,-7.669770414102,-4.141948151535e-04,4.421515419,9.478236319,9.477509808,13.899751738,13.899025227
5593000000.000000,1.000000000000e+00,1.000000000000e+00,-2.892982399660e-14,-7.728865170267,-7.729274843228,-4.096729606777e-04,4.627629022,9.464320573,9.463607519,14.091949595,14.091236541
5594000000.000000,1.000000000000e+00,1.000000000000e+00,3.471578879592e-14,-7.788288379215,-7.788693613535,-4.052343200600e-04,4.467891138,9.450945866,9.450245840,13.918837004,13.918136978
5595000000.000000,1.000000000000e+00,1.000000000000e+00,-2.603684159694e-14,-7.847629258673,-7.848030134849,-4.008761750924e-04,4.425405670,9.438116189,9.437428756,13.863521859,13.862834426
5596000000.000000,1.000000000000e+00,1.000000000000e+00,1.272912255850e-13,-7.906891245152,-7.907287840933,-3.965957801126e-04,4.764172307,9.425835193,9.425159914,14.190007500,14.189332221
5597000000.000000,1.000000000000e+00,1.000000000000e+00,6.171695785941e-14,-7.966077797058,-7.966470187423,-3.923903653078e-04,4.322803031,9.414106208,9.413442640,13.736909239,13.736245671
5598000000.000000,1.000000000000e+00,1.000000000000e+00,-4.435906346145e-14,-8.025192392769,-8.025580649909,-3.882571397451e-04,4.883989315,9.402932272,9.402279970,14.286921587,14.286269285
